"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"252","1585469037.113820352","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=45)",""
"254","1585469037.324036060","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=46) [tempreture]","343543"
"255","1585469037.324091541","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=46)",""
"256","1585469037.391059300","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=46)",""
"257","1585469037.391129455","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=46)",""
"259","1585469037.597623142","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=47) [tempreture]","343643"
"260","1585469037.597681966","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=47)",""
"261","1585469037.664970188","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=47)",""
"262","1585469037.665040347","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=47)",""
"264","1585469037.882744285","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=48) [tempreture]","343743"
"265","1585469037.882805624","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=48)",""
"267","1585469037.949706152","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=48)",""
"268","1585469037.949790637","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=48)",""
"270","1585469039.183808227","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=49) [tempreture]","343843"
"271","1585469039.183890911","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=49)",""
"273","1585469039.251065056","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=49)",""
"274","1585469039.251158419","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=49)",""
"276","1585469039.459908958","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=50) [tempreture]","343943"
"277","1585469039.460001367","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=50)",""
"278","1585469039.527138683","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=50)",""
"279","1585469039.527240787","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=50)",""
"281","1585469040.033231801","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=51) [tempreture]","353043"
"282","1585469040.033273878","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=51)",""
"283","1585469040.100282719","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=51)",""
"284","1585469040.100348741","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=51)",""
"286","1585469040.313315717","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=52) [tempreture]","353143"
"287","1585469040.313364683","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=52)",""
"288","1585469040.380324495","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=52)",""
"289","1585469040.380412081","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=52)",""
"291","1585469040.592724440","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=53) [tempreture]","353243"
"292","1585469040.592804565","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=53)",""
"293","1585469040.659808095","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=53)",""
